Year_x,Player,Tm,Pos,Age,G,GS,MP,PER,AST,TOV,STL,BLK,TRB,PTS,FG%,PPG,MPG,PACE,height_x,weight_x,HeightxWeight,year_start,year_end,career
2002,Jon Barry,DET,SG,32.0,82.0,6.0,1985.0,17.7,274.0,111.0,94.0,20.0,234.0,739.0,0.489,9.01219512195122,24.207317073170728,91.4,193.0,88.0,16984.0,1993,2006,10
2003,Jon Barry,DET,SG,33.0,80.0,0.0,1473.0,17.9,206.0,81.0,63.0,14.0,180.0,555.0,0.45,6.9375,18.4125,88.31,193.0,88.0,16984.0,1993,2006,11
1999,Vlade Divac,SAC,C,30.0,50.0,50.0,1761.0,18.0,215.0,131.0,44.0,51.0,501.0,714.0,0.47,14.28,35.22,97.45,216.0,110.0,23760.0,1990,2005,10
2000,Vlade Divac,SAC,C,31.0,82.0,81.0,2374.0,18.0,244.0,190.0,103.0,103.0,656.0,1005.0,0.503,12.25609756097561,28.951219512195124,100.75,216.0,110.0,23760.0,1990,2005,11
2001,Vlade Divac,SAC,C,32.0,81.0,81.0,2420.0,17.7,231.0,192.0,87.0,93.0,673.0,974.0,0.482,12.024691358024693,29.876543209876548,95.74,216.0,110.0,23760.0,1990,2005,12
2002,Vlade Divac,SAC,C,33.0,80.0,80.0,2420.0,17.0,297.0,158.0,79.0,94.0,671.0,888.0,0.472,11.1,30.25,96.77,216.0,110.0,23760.0,1990,2005,13
2003,Vlade Divac,SAC,C,34.0,80.0,80.0,2384.0,15.6,274.0,152.0,83.0,105.0,574.0,795.0,0.466,9.9375,29.8,96.66,216.0,110.0,23760.0,1990,2005,14
2004,Vlade Divac,SAC,C,35.0,81.0,81.0,2317.0,16.3,432.0,173.0,57.0,77.0,463.0,800.0,0.47,9.876543209876543,28.604938271604933,94.28,216.0,110.0,23760.0,1990,2005,15
1997,Vlade Divac,CHH,C,28.0,81.0,80.0,2840.0,17.9,301.0,193.0,103.0,180.0,725.0,1024.0,0.494,12.641975308641975,35.061728395061735,90.08,216.0,110.0,23760.0,1990,2005,8
1998,Vlade Divac,CHH,C,29.0,64.0,41.0,1805.0,19.4,172.0,114.0,83.0,94.0,518.0,667.0,0.498,10.421875,28.203125,91.16,216.0,110.0,23760.0,1990,2005,9
1999,Michael Hawkins,SAC,PG,26.0,24.0,0.0,203.0,7.2,27.0,13.0,3.0,1.0,25.0,36.0,0.35,1.5,8.458333333333334,97.45,183.0,80.0,14640.0,1997,2001,3
1997,Michael Hawkins,BOS,PG,24.0,29.0,0.0,326.0,10.6,64.0,28.0,16.0,1.0,31.0,80.0,0.426,2.7586206896551726,11.241379310344827,96.82,183.0,80.0,14640.0,1997,2001,1
1999,Vernon Maxwell,SAC,SG,33.0,46.0,1.0,1007.0,12.6,76.0,67.0,30.0,3.0,85.0,492.0,0.39,10.695652173913043,21.891304347826086,97.45,193.0,81.0,15633.0,1989,2001,11
1998,Vernon Maxwell,CHH,SG,32.0,31.0,0.0,467.0,13.2,40.0,28.0,14.0,3.0,44.0,210.0,0.428,6.774193548387097,15.06451612903226,91.16,193.0,81.0,15633.0,1989,2001,10
1997,Vernon Maxwell,SAS,SG,31.0,72.0,31.0,2068.0,11.8,153.0,121.0,87.0,19.0,159.0,929.0,0.375,12.902777777777779,28.722222222222218,88.47,193.0,81.0,15633.0,1989,2001,9
